feature1	feature2	r	p	p_adjusted
Methanomethylophilaceae_uncl	Pseudoramibacter	-0.177	0.0549	0.07384646739130435
Acetitomaculum	Methanomethylophilaceae_uncl	-0.1946	0.0559	0.07478513513513513
Coprococcus	Methanomethylophilaceae_uncl	-0.0351	0.6853	0.7232910447761194
Lachnospiraceae_uncl(NK3A20)	Methanomethylophilaceae_uncl	-0.0894	0.3477	0.393547637195122
Methanomethylophilaceae_uncl	Pseudobutyrivibrio	0.0254	0.8002	0.8263539638386648
Methanomethylophilaceae_uncl	Shuttleworthia	0.1248	0.1748	0.21172756933115827
Methanomethylophilaceae_uncl	Syntrophococcus	-0.1357	0.1658	0.20281136738056013
Methanomethylophilaceae_uncl	Monoglobus	-0.0729	0.4256	0.4737751124437781
Methanomethylophilaceae_uncl	uncl(NK4A214)	-0.0883	0.3417	0.3882360367253252
Methanomethylophilaceae_uncl	uncl(UCG-010)	-0.0544	0.5465	0.5885079767947788
Methanomethylophilaceae_uncl	uncl(Family_XIII_AD3011)	-0.267	0.007	0.0109536354056902
Eubacterium_nodatum	Methanomethylophilaceae_uncl	-0.1145	0.2128	0.25099920571882445
Methanomethylophilaceae_uncl	Succiniclasticum	-0.2977	0.001	0.0018702770780856424
Methanomethylophilaceae_uncl	Selenomonas	0.0398	0.6963	0.7333372340425532
Dialister	Methanomethylophilaceae_uncl	-0.2478	0.008	0.012413793103448275
Megasphaera	Methanomethylophilaceae_uncl	0.0782	0.3916	0.44021650264950796
Methanomethylophilaceae_uncl	Negativicutes_uncl	0.0474	0.5964	0.6357889447236181
Candidatus_Saccharimonas	Methanomethylophilaceae_uncl	0.02	0.8322	0.8533117241379311
Methanomethylophilaceae_uncl	Rhodospirillales_uncl	0.1033	0.2627	0.30501133698201716
Comamonas	Methanomethylophilaceae_uncl	0.1851	0.03	0.0423076923076923
Methanomethylophilaceae_uncl	Ruminobacter	-0.0619	0.5095	0.5546975806451613
Methanomethylophilaceae_uncl	Succinivibrio	-0.0897	0.3147	0.3608722007722007
Acinetobacter	Methanomethylophilaceae_uncl	0.1529	0.0869	0.11192237640936686
Methanomethylophilaceae_uncl	Sphaerochaeta	0.1202	0.2218	0.26037391304347823
Methanomethylophilaceae_uncl	Treponema	-0.2621	0.01	0.015277777777777779
Methanomethylophilaceae_uncl	uncl(WPS-2)	0.0892	0.2887	0.3323406976744186
Bifidobacterium	Pseudoscardovia	0.1988	0.024	0.0344015444015444
Bifidobacterium	Olsenella	0.0948	0.2677	0.31033138173302105
Bifidobacterium	uncl(F082)	-0.1498	0.0859	0.11082667245873155
Bifidobacterium	Muribaculaceae	0.0265	0.7562	0.78804
Bifidobacterium	Prevotella	-0.053	0.5524	0.5927124277456647
Bifidobacterium	Prevotella_7	0.3132	0.001	0.0018702770780856424
Bifidobacterium	Prevotellaceae_uncl(UCG-001)	-0.0864	0.3187	0.364614406779661
Bifidobacterium	Prevotellaceae_uncl(UCG-003)	-0.1214	0.1528	0.18877537437603994
Bifidobacterium	Prevotellaceae_uncl(YAB2003)	0.1265	0.1568	0.1929146644573322
Bifidobacterium	Rikenellaceae_uncl(RC9_gut)	-0.0964	0.2577	0.2994401408450704
Bacteroidales_uncl	Bifidobacterium	-0.3228	0.001	0.0018702770780856424
Bifidobacterium	Fibrobacter	0.1881	0.045	0.06176062846580407
Bifidobacterium	Catenisphaera	-0.3004	0.001	0.0018702770780856424
Bifidobacterium	Erysipelotrichaceae_uncl	-0.1166	0.1518	0.18769608659450457
Bifidobacterium	Izemoplasmatales	-0.138	0.1149	0.1448442275042445
Bifidobacterium	Lactobacillus	0.1399	0.1209	0.15137984822934233
Bifidobacterium	Limosilactobacillus	0.0482	0.5744	0.6145417867435159
Bifidobacterium	Streptococcus	0.0988	0.2707	0.3130759345794392
Bifidobacterium	Christensenellaceae_uncl(R-7)	-0.1659	0.0529	0.07174109589041096
Bifidobacterium	Clostridia_uncl(UCG-014)	-0.0826	0.3447	0.39074770992366414
Bifidobacterium	Clostridia_uncl(vadinBB60)	0.0573	0.4895	0.5380514433752775
Bifidobacterium	Pseudoramibacter	-0.3297	0.001	0.0018702770780856424
Acetitomaculum	Bifidobacterium	0.1838	0.043	0.05923469387755101
Bifidobacterium	Coprococcus	-0.4897	0.001	0.0018702770780856424
Bifidobacterium	Lachnospiraceae_uncl(NK3A20)	0.2107	0.013	0.019559270516717325
Bifidobacterium	Pseudobutyrivibrio	0.0652	0.4066	0.4543273137697517
Bifidobacterium	Shuttleworthia	0.3142	0.003	0.005097254004576658
Bifidobacterium	Syntrophococcus	-0.1839	0.04	0.05556594948550047
Bifidobacterium	Monoglobus	0.1158	0.1698	0.20685233798195243
Bifidobacterium	uncl(NK4A214)	-0.0584	0.5265	0.5698633381924197
Bifidobacterium	uncl(UCG-010)	0.1267	0.1658	0.20281136738056013
Bifidobacterium	uncl(Family_XIII_AD3011)	-0.1759	0.04	0.05556594948550047
Bifidobacterium	Eubacterium_nodatum	-0.1391	0.1139	0.14382780612244897
Bifidobacterium	Succiniclasticum	-0.0558	0.5345	0.5768404796511627
Bifidobacterium	Selenomonas	0.1725	0.039	0.054329268292682927
Bifidobacterium	Dialister	-0.0002	0.999	0.999
Bifidobacterium	Megasphaera	0.5696	0.001	0.0018702770780856424
Bifidobacterium	Negativicutes_uncl	-0.0139	0.8611	0.8782510302197801
Bifidobacterium	Candidatus_Saccharimonas	-0.3235	0.002	0.0034859154929577463
Bifidobacterium	Rhodospirillales_uncl	-0.1169	0.1808	0.21775182481751823
Bifidobacterium	Comamonas	0.2341	0.005	0.008114754098360656
Bifidobacterium	Ruminobacter	-0.1213	0.1518	0.18769608659450457
Bifidobacterium	Succinivibrio	-0.3467	0.001	0.0018702770780856424
Acinetobacter	Bifidobacterium	0.0118	0.8851	0.8996396303901437
Bifidobacterium	Sphaerochaeta	0.1149	0.1828	0.21980404858299593
Bifidobacterium	Treponema	0.2533	0.005	0.008114754098360656
Bifidobacterium	uncl(WPS-2)	-0.0198	0.8002	0.8263539638386648
Olsenella	Pseudoscardovia	0.7928	0.001	0.0018702770780856424
Pseudoscardovia	uncl(F082)	-0.2654	0.007	0.0109536354056902
Muribaculaceae	Pseudoscardovia	0.7559	0.001	0.0018702770780856424
Prevotella	Pseudoscardovia	0.2303	0.025	0.03576589595375723
Prevotella_7	Pseudoscardovia	0.8828	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-001)	Pseudoscardovia	-0.1504	0.0799	0.10362576419213973
Prevotellaceae_uncl(UCG-003)	Pseudoscardovia	-0.6502	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	Pseudoscardovia	0.7121	0.001	0.0018702770780856424
Pseudoscardovia	Rikenellaceae_uncl(RC9_gut)	-0.0986	0.2547	0.29618598277212216
Bacteroidales_uncl	Pseudoscardovia	-0.3158	0.002	0.0034859154929577463
Fibrobacter	Pseudoscardovia	0.6013	0.001	0.0018702770780856424
Catenisphaera	Pseudoscardovia	0.6479	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Pseudoscardovia	-0.6445	0.001	0.0018702770780856424
Izemoplasmatales	Pseudoscardovia	-0.53	0.001	0.0018702770780856424
Lactobacillus	Pseudoscardovia	0.8506	0.001	0.0018702770780856424
Limosilactobacillus	Pseudoscardovia	0.8778	0.001	0.0018702770780856424
Pseudoscardovia	Streptococcus	0.6801	0.001	0.0018702770780856424
Christensenellaceae_uncl(R-7)	Pseudoscardovia	-0.4089	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Pseudoscardovia	-0.4843	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Pseudoscardovia	-0.5855	0.001	0.0018702770780856424
Pseudoramibacter	Pseudoscardovia	0.5035	0.001	0.0018702770780856424
Acetitomaculum	Pseudoscardovia	0.7702	0.001	0.0018702770780856424
Coprococcus	Pseudoscardovia	-0.0113	0.8891	0.9030872093023256
Lachnospiraceae_uncl(NK3A20)	Pseudoscardovia	0.8998	0.001	0.0018702770780856424
Pseudobutyrivibrio	Pseudoscardovia	0.654	0.001	0.0018702770780856424
Pseudoscardovia	Shuttleworthia	0.7349	0.001	0.0018702770780856424
Pseudoscardovia	Syntrophococcus	0.6483	0.001	0.0018702770780856424
Monoglobus	Pseudoscardovia	-0.5358	0.001	0.0018702770780856424
Pseudoscardovia	uncl(NK4A214)	-0.5731	0.001	0.0018702770780856424
Pseudoscardovia	uncl(UCG-010)	-0.5383	0.001	0.0018702770780856424
Pseudoscardovia	uncl(Family_XIII_AD3011)	-0.2102	0.021	0.0304541015625
Eubacterium_nodatum	Pseudoscardovia	0.7076	0.001	0.0018702770780856424
Pseudoscardovia	Succiniclasticum	-0.1853	0.042	0.05812674743709227
Pseudoscardovia	Selenomonas	0.5872	0.001	0.0018702770780856424
Dialister	Pseudoscardovia	0.7373	0.001	0.0018702770780856424
Megasphaera	Pseudoscardovia	0.1228	0.1518	0.18769608659450457
Negativicutes_uncl	Pseudoscardovia	-0.6232	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Pseudoscardovia	-0.5404	0.001	0.0018702770780856424
Pseudoscardovia	Rhodospirillales_uncl	-0.5695	0.001	0.0018702770780856424
Comamonas	Pseudoscardovia	-0.3124	0.002	0.0034859154929577463
Pseudoscardovia	Ruminobacter	0.1237	0.1708	0.20755973813420622
Pseudoscardovia	Succinivibrio	0.2223	0.022	0.03171844660194175
Acinetobacter	Pseudoscardovia	-0.2822	0.003	0.005097254004576658
Pseudoscardovia	Sphaerochaeta	-0.5431	0.001	0.0018702770780856424
Pseudoscardovia	Treponema	0.6469	0.001	0.0018702770780856424
Pseudoscardovia	uncl(WPS-2)	-0.4403	0.001	0.0018702770780856424
Olsenella	uncl(F082)	-0.5215	0.001	0.0018702770780856424
Muribaculaceae	Olsenella	0.6507	0.001	0.0018702770780856424
Olsenella	Prevotella	-0.1912	0.031	0.04359375
Olsenella	Prevotella_7	0.7531	0.001	0.0018702770780856424
Olsenella	Prevotellaceae_uncl(UCG-001)	-0.257	0.004	0.006592674805771366
Olsenella	Prevotellaceae_uncl(UCG-003)	-0.7348	0.001	0.0018702770780856424
Olsenella	Prevotellaceae_uncl(YAB2003)	0.5374	0.001	0.0018702770780856424
Olsenella	Rikenellaceae_uncl(RC9_gut)	-0.3599	0.001	0.0018702770780856424
Bacteroidales_uncl	Olsenella	-0.355	0.001	0.0018702770780856424
Fibrobacter	Olsenella	0.6329	0.001	0.0018702770780856424
Catenisphaera	Olsenella	0.6748	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Olsenella	-0.6977	0.001	0.0018702770780856424
Izemoplasmatales	Olsenella	-0.5538	0.001	0.0018702770780856424
Lactobacillus	Olsenella	0.6689	0.001	0.0018702770780856424
Limosilactobacillus	Olsenella	0.8274	0.001	0.0018702770780856424
Olsenella	Streptococcus	0.5087	0.001	0.0018702770780856424
Christensenellaceae_uncl(R-7)	Olsenella	-0.595	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Olsenella	-0.5641	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Olsenella	-0.6759	0.001	0.0018702770780856424
Olsenella	Pseudoramibacter	0.5746	0.001	0.0018702770780856424
Acetitomaculum	Olsenella	0.5559	0.001	0.0018702770780856424
Coprococcus	Olsenella	-0.0776	0.3367	0.3837294704528012
Lachnospiraceae_uncl(NK3A20)	Olsenella	0.755	0.001	0.0018702770780856424
Olsenella	Pseudobutyrivibrio	0.5337	0.001	0.0018702770780856424
Olsenella	Shuttleworthia	0.7747	0.001	0.0018702770780856424
Olsenella	Syntrophococcus	0.512	0.001	0.0018702770780856424
Monoglobus	Olsenella	-0.6777	0.001	0.0018702770780856424
Olsenella	uncl(NK4A214)	-0.6036	0.001	0.0018702770780856424
Olsenella	uncl(UCG-010)	-0.6398	0.001	0.0018702770780856424
Olsenella	uncl(Family_XIII_AD3011)	-0.4135	0.001	0.0018702770780856424
Eubacterium_nodatum	Olsenella	0.6077	0.001	0.0018702770780856424
Olsenella	Succiniclasticum	-0.4782	0.001	0.0018702770780856424
Olsenella	Selenomonas	0.5016	0.001	0.0018702770780856424
Dialister	Olsenella	0.5759	0.001	0.0018702770780856424
Megasphaera	Olsenella	0.3071	0.001	0.0018702770780856424
Negativicutes_uncl	Olsenella	-0.63	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Olsenella	-0.6395	0.001	0.0018702770780856424
Olsenella	Rhodospirillales_uncl	-0.6504	0.001	0.0018702770780856424
Comamonas	Olsenella	-0.2244	0.004	0.006592674805771366
Olsenella	Ruminobacter	-0.0603	0.4995	0.5462131811487482
Olsenella	Succinivibrio	0.1184	0.1788	0.21586829268292682
Acinetobacter	Olsenella	-0.1253	0.1329	0.16542875104777868
Olsenella	Sphaerochaeta	-0.6077	0.001	0.0018702770780856424
Olsenella	Treponema	0.4386	0.001	0.0018702770780856424
Olsenella	uncl(WPS-2)	-0.6151	0.001	0.0018702770780856424
Muribaculaceae	uncl(F082)	-0.321	0.005	0.008114754098360656
Prevotella	uncl(F082)	0.6787	0.001	0.0018702770780856424
Prevotella_7	uncl(F082)	-0.303	0.004	0.006592674805771366
Prevotellaceae_uncl(UCG-001)	uncl(F082)	0.132	0.0989	0.1263911359724613
Prevotellaceae_uncl(UCG-003)	uncl(F082)	0.6339	0.001	0.0018702770780856424
Prevotellaceae_uncl(YAB2003)	uncl(F082)	-0.3562	0.001	0.0018702770780856424
Rikenellaceae_uncl(RC9_gut)	uncl(F082)	0.8188	0.001	0.0018702770780856424
Bacteroidales_uncl	uncl(F082)	0.3317	0.001	0.0018702770780856424
Fibrobacter	uncl(F082)	-0.368	0.001	0.0018702770780856424
Catenisphaera	uncl(F082)	-0.385	0.002	0.0034859154929577463
Erysipelotrichaceae_uncl	uncl(F082)	0.5634	0.001	0.0018702770780856424
Izemoplasmatales	uncl(F082)	0.5624	0.001	0.0018702770780856424
Lactobacillus	uncl(F082)	-0.0811	0.3157	0.36173958333333334
Limosilactobacillus	uncl(F082)	-0.2863	0.008	0.012413793103448275
Streptococcus	uncl(F082)	-0.1725	0.0619	0.08199955396966993
Christensenellaceae_uncl(R-7)	uncl(F082)	0.7758	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	uncl(F082)	0.4905	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	uncl(F082)	0.5464	0.001	0.0018702770780856424
Pseudoramibacter	uncl(F082)	-0.2535	0.008	0.012413793103448275
Acetitomaculum	uncl(F082)	-0.2752	0.01	0.015277777777777779
Coprococcus	uncl(F082)	0.1058	0.2028	0.24111929543634908
Lachnospiraceae_uncl(NK3A20)	uncl(F082)	-0.3488	0.002	0.0034859154929577463
Pseudobutyrivibrio	uncl(F082)	-0.4446	0.001	0.0018702770780856424
Shuttleworthia	uncl(F082)	-0.5434	0.001	0.0018702770780856424
Syntrophococcus	uncl(F082)	-0.288	0.007	0.0109536354056902
Monoglobus	uncl(F082)	0.4476	0.001	0.0018702770780856424
uncl(F082)	uncl(NK4A214)	0.5442	0.001	0.0018702770780856424
uncl(F082)	uncl(UCG-010)	0.6039	0.001	0.0018702770780856424
uncl(F082)	uncl(Family_XIII_AD3011)	0.4737	0.001	0.0018702770780856424
Eubacterium_nodatum	uncl(F082)	-0.3454	0.001	0.0018702770780856424
Succiniclasticum	uncl(F082)	0.5737	0.001	0.0018702770780856424
Selenomonas	uncl(F082)	-0.4178	0.001	0.0018702770780856424
Dialister	uncl(F082)	-0.346	0.001	0.0018702770780856424
Megasphaera	uncl(F082)	-0.2099	0.014	0.02089447236180905
Negativicutes_uncl	uncl(F082)	0.4869	0.001	0.0018702770780856424
Candidatus_Saccharimonas	uncl(F082)	0.5412	0.001	0.0018702770780856424
Rhodospirillales_uncl	uncl(F082)	0.526	0.001	0.0018702770780856424
Comamonas	uncl(F082)	0.0157	0.8551	0.8733311554332874
Ruminobacter	uncl(F082)	0.1522	0.0809	0.10473975588491717
Succinivibrio	uncl(F082)	-0.0968	0.2777	0.3209217898832685
Acinetobacter	uncl(F082)	0.1218	0.1708	0.20755973813420622
Sphaerochaeta	uncl(F082)	0.4672	0.001	0.0018702770780856424
Treponema	uncl(F082)	-0.0332	0.6803	0.7185245376955903
uncl(F082)	uncl(WPS-2)	0.357	0.001	0.0018702770780856424
Muribaculaceae	Prevotella	-0.04	0.6034	0.6427898134863702
Muribaculaceae	Prevotella_7	0.5889	0.001	0.0018702770780856424
Muribaculaceae	Prevotellaceae_uncl(UCG-001)	-0.3291	0.003	0.005097254004576658
Muribaculaceae	Prevotellaceae_uncl(UCG-003)	-0.5338	0.001	0.0018702770780856424
Muribaculaceae	Prevotellaceae_uncl(YAB2003)	0.3971	0.001	0.0018702770780856424
Muribaculaceae	Rikenellaceae_uncl(RC9_gut)	-0.1503	0.0849	0.1097271540469974
Bacteroidales_uncl	Muribaculaceae	-0.4176	0.001	0.0018702770780856424
Fibrobacter	Muribaculaceae	0.366	0.003	0.005097254004576658
Catenisphaera	Muribaculaceae	0.4704	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Muribaculaceae	-0.4867	0.001	0.0018702770780856424
Izemoplasmatales	Muribaculaceae	-0.517	0.001	0.0018702770780856424
Lactobacillus	Muribaculaceae	0.6426	0.001	0.0018702770780856424
Limosilactobacillus	Muribaculaceae	0.7418	0.001	0.0018702770780856424
Muribaculaceae	Streptococcus	0.3268	0.004	0.006592674805771366
Christensenellaceae_uncl(R-7)	Muribaculaceae	-0.3774	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Muribaculaceae	-0.4854	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Muribaculaceae	-0.6005	0.001	0.0018702770780856424
Muribaculaceae	Pseudoramibacter	0.4007	0.001	0.0018702770780856424
Acetitomaculum	Muribaculaceae	0.637	0.001	0.0018702770780856424
Coprococcus	Muribaculaceae	0.1336	0.1069	0.13556490179333902
Lachnospiraceae_uncl(NK3A20)	Muribaculaceae	0.6522	0.001	0.0018702770780856424
Muribaculaceae	Pseudobutyrivibrio	0.3591	0.001	0.0018702770780856424
Muribaculaceae	Shuttleworthia	0.5143	0.001	0.0018702770780856424
Muribaculaceae	Syntrophococcus	0.5215	0.001	0.0018702770780856424
Monoglobus	Muribaculaceae	-0.4999	0.001	0.0018702770780856424
Muribaculaceae	uncl(NK4A214)	-0.4372	0.001	0.0018702770780856424
Muribaculaceae	uncl(UCG-010)	-0.4828	0.001	0.0018702770780856424
Muribaculaceae	uncl(Family_XIII_AD3011)	-0.2401	0.01	0.015277777777777779
Eubacterium_nodatum	Muribaculaceae	0.5787	0.001	0.0018702770780856424
Muribaculaceae	Succiniclasticum	-0.3155	0.003	0.005097254004576658
Muribaculaceae	Selenomonas	0.3047	0.004	0.006592674805771366
Dialister	Muribaculaceae	0.4772	0.001	0.0018702770780856424
Megasphaera	Muribaculaceae	0.1353	0.1349	0.16777763819095476
Muribaculaceae	Negativicutes_uncl	-0.5643	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Muribaculaceae	-0.4139	0.001	0.0018702770780856424
Muribaculaceae	Rhodospirillales_uncl	-0.5433	0.001	0.0018702770780856424
Comamonas	Muribaculaceae	-0.2657	0.003	0.005097254004576658
Muribaculaceae	Ruminobacter	-0.2455	0.013	0.019559270516717325
Muribaculaceae	Succinivibrio	0.091	0.2857	0.3293979037267081
Acinetobacter	Muribaculaceae	-0.2614	0.004	0.006592674805771366
Muribaculaceae	Sphaerochaeta	-0.5584	0.001	0.0018702770780856424
Muribaculaceae	Treponema	0.3073	0.008	0.012413793103448275
Muribaculaceae	uncl(WPS-2)	-0.3835	0.001	0.0018702770780856424
Prevotella	Prevotella_7	0.1752	0.0529	0.07174109589041096
Prevotella	Prevotellaceae_uncl(UCG-001)	0.1017	0.2527	0.2943211764705882
Prevotella	Prevotellaceae_uncl(UCG-003)	0.1891	0.03	0.0423076923076923
Prevotella	Prevotellaceae_uncl(YAB2003)	0.2082	0.031	0.04359375
Prevotella	Rikenellaceae_uncl(RC9_gut)	0.6281	0.001	0.0018702770780856424
Bacteroidales_uncl	Prevotella	0.1122	0.2018	0.24012259615384618
Fibrobacter	Prevotella	-0.0207	0.8002	0.8263539638386648
Catenisphaera	Prevotella	-0.0688	0.4006	0.4486357466063349
Erysipelotrichaceae_uncl	Prevotella	0.1088	0.2008	0.2391242983159583
Izemoplasmatales	Prevotella	0.2362	0.011	0.016753846153846154
Lactobacillus	Prevotella	0.4266	0.001	0.0018702770780856424
Limosilactobacillus	Prevotella	0.1898	0.05	0.06824448529411765
Prevotella	Streptococcus	0.2899	0.013	0.019559270516717325
Christensenellaceae_uncl(R-7)	Prevotella	0.3594	0.002	0.0034859154929577463
Clostridia_uncl(UCG-014)	Prevotella	0.0756	0.3566	0.40270038022813687
Clostridia_uncl(vadinBB60)	Prevotella	0.1487	0.0789	0.1028678665496049
Prevotella	Pseudoramibacter	-0.0845	0.3187	0.364614406779661
Acetitomaculum	Prevotella	-0.0326	0.6923	0.7296419446415898
Coprococcus	Prevotella	-0.0452	0.6254	0.6647952755905511
Lachnospiraceae_uncl(NK3A20)	Prevotella	0.1167	0.1678	0.2049202302631579
Prevotella	Pseudobutyrivibrio	0.0359	0.6134	0.6525064469914039
Prevotella	Shuttleworthia	-0.176	0.048	0.06569585253456221
Prevotella	Syntrophococcus	-0.1173	0.1698	0.20685233798195243
Monoglobus	Prevotella	0.0589	0.5145	0.5580953250547844
Prevotella	uncl(NK4A214)	0.0877	0.3057	0.35109396751740146
Prevotella	uncl(UCG-010)	0.1719	0.0619	0.08199955396966993
Prevotella	uncl(Family_XIII_AD3011)	0.2129	0.02	0.02914622178606477
Eubacterium_nodatum	Prevotella	-0.1073	0.2218	0.26037391304347823
Prevotella	Succiniclasticum	0.23	0.017	0.02509443339960239
Prevotella	Selenomonas	0.0484	0.5684	0.608560922855083
Dialister	Prevotella	0.0788	0.3377	0.3842793103448276
Megasphaera	Prevotella	-0.1452	0.1039	0.13221208226221082
Negativicutes_uncl	Prevotella	0.0697	0.4376	0.48604038893044127
Candidatus_Saccharimonas	Prevotella	0.1288	0.1449	0.17961310517529216
Prevotella	Rhodospirillales_uncl	0.1779	0.037	0.05173728813559322
Comamonas	Prevotella	-0.2511	0.004	0.006592674805771366
Prevotella	Ruminobacter	0.3865	0.002	0.0034859154929577463
Prevotella	Succinivibrio	0.24	0.004	0.006592674805771366
Acinetobacter	Prevotella	-0.1595	0.0509	0.0693454128440367
Prevotella	Sphaerochaeta	0.0639	0.4575	0.5062500000000001
Prevotella	Treponema	0.438	0.002	0.0034859154929577463
Prevotella	uncl(WPS-2)	0.0993	0.2368	0.2771063829787234
Prevotella_7	Prevotellaceae_uncl(UCG-001)	-0.2735	0.004	0.006592674805771366
Prevotella_7	Prevotellaceae_uncl(UCG-003)	-0.6892	0.001	0.0018702770780856424
Prevotella_7	Prevotellaceae_uncl(YAB2003)	0.7467	0.001	0.0018702770780856424
Prevotella_7	Rikenellaceae_uncl(RC9_gut)	-0.1992	0.045	0.06176062846580407
Bacteroidales_uncl	Prevotella_7	-0.4388	0.001	0.0018702770780856424
Fibrobacter	Prevotella_7	0.5534	0.001	0.0018702770780856424
Catenisphaera	Prevotella_7	0.5162	0.001	0.0018702770780856424
Erysipelotrichaceae_uncl	Prevotella_7	-0.6596	0.001	0.0018702770780856424
Izemoplasmatales	Prevotella_7	-0.4575	0.001	0.0018702770780856424
Lactobacillus	Prevotella_7	0.8205	0.001	0.0018702770780856424
Limosilactobacillus	Prevotella_7	0.803	0.001	0.0018702770780856424
Prevotella_7	Streptococcus	0.6649	0.001	0.0018702770780856424
Christensenellaceae_uncl(R-7)	Prevotella_7	-0.5224	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Prevotella_7	-0.5326	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Prevotella_7	-0.5972	0.001	0.0018702770780856424
Prevotella_7	Pseudoramibacter	0.4406	0.001	0.0018702770780856424
Acetitomaculum	Prevotella_7	0.6064	0.001	0.0018702770780856424
Coprococcus	Prevotella_7	-0.2299	0.006	0.00951923076923077
Lachnospiraceae_uncl(NK3A20)	Prevotella_7	0.801	0.001	0.0018702770780856424
Prevotella_7	Pseudobutyrivibrio	0.5847	0.001	0.0018702770780856424
Prevotella_7	Shuttleworthia	0.7224	0.001	0.0018702770780856424
Prevotella_7	Syntrophococcus	0.4852	0.001	0.0018702770780856424
Monoglobus	Prevotella_7	-0.4999	0.001	0.0018702770780856424
Prevotella_7	uncl(NK4A214)	-0.6038	0.001	0.0018702770780856424
Prevotella_7	uncl(UCG-010)	-0.5434	0.001	0.0018702770780856424
Prevotella_7	uncl(Family_XIII_AD3011)	-0.3018	0.001	0.0018702770780856424
Eubacterium_nodatum	Prevotella_7	0.5967	0.001	0.0018702770780856424
Prevotella_7	Succiniclasticum	-0.3944	0.001	0.0018702770780856424
Prevotella_7	Selenomonas	0.6627	0.001	0.0018702770780856424
Dialister	Prevotella_7	0.7577	0.001	0.0018702770780856424
Megasphaera	Prevotella_7	0.3596	0.001	0.0018702770780856424
Negativicutes_uncl	Prevotella_7	-0.6254	0.001	0.0018702770780856424
Candidatus_Saccharimonas	Prevotella_7	-0.6424	0.001	0.0018702770780856424
Prevotella_7	Rhodospirillales_uncl	-0.5961	0.001	0.0018702770780856424
Comamonas	Prevotella_7	-0.2706	0.001	0.0018702770780856424
Prevotella_7	Ruminobacter	0.0549	0.5055	0.5515558412931667
Prevotella_7	Succinivibrio	0.2149	0.017	0.02509443339960239
Acinetobacter	Prevotella_7	-0.3189	0.003	0.005097254004576658
Prevotella_7	Sphaerochaeta	-0.5188	0.001	0.0018702770780856424
Prevotella_7	Treponema	0.7203	0.001	0.0018702770780856424
Prevotella_7	uncl(WPS-2)	-0.5323	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-001)	Prevotellaceae_uncl(UCG-003)	0.2466	0.007	0.0109536354056902
Prevotellaceae_uncl(UCG-001)	Prevotellaceae_uncl(YAB2003)	-0.21	0.016	0.02376
Prevotellaceae_uncl(UCG-001)	Rikenellaceae_uncl(RC9_gut)	0.1955	0.028	0.03967557251908397
Bacteroidales_uncl	Prevotellaceae_uncl(UCG-001)	0.1819	0.043	0.05923469387755101
Fibrobacter	Prevotellaceae_uncl(UCG-001)	-0.0681	0.4396	0.48789686098654705
Catenisphaera	Prevotellaceae_uncl(UCG-001)	-0.0342	0.7023	0.7375640028288544
Erysipelotrichaceae_uncl	Prevotellaceae_uncl(UCG-001)	0.2554	0.005	0.008114754098360656
Izemoplasmatales	Prevotellaceae_uncl(UCG-001)	0.0764	0.3776	0.42544461305007586
Lactobacillus	Prevotellaceae_uncl(UCG-001)	-0.2324	0.014	0.02089447236180905
Limosilactobacillus	Prevotellaceae_uncl(UCG-001)	-0.2017	0.028	0.03967557251908397
Prevotellaceae_uncl(UCG-001)	Streptococcus	-0.1577	0.0769	0.10052508802816901
Christensenellaceae_uncl(R-7)	Prevotellaceae_uncl(UCG-001)	0.1626	0.0799	0.10362576419213973
Clostridia_uncl(UCG-014)	Prevotellaceae_uncl(UCG-001)	0.0693	0.4456	0.4938179104477612
Clostridia_uncl(vadinBB60)	Prevotellaceae_uncl(UCG-001)	0.3353	0.001	0.0018702770780856424
Prevotellaceae_uncl(UCG-001)	Pseudoramibacter	-0.2558	0.002	0.0034859154929577463
Acetitomaculum	Prevotellaceae_uncl(UCG-001)	-0.2318	0.01	0.015277777777777779
Coprococcus	Prevotellaceae_uncl(UCG-001)	-0.0109	0.9001	0.9117656889495225
Lachnospiraceae_uncl(NK3A20)	Prevotellaceae_uncl(UCG-001)	-0.125	0.1419	0.17618854515050167
