	feature1	feature2	r	p	p_adj	stype
271	Muribaculaceae	IsoValerate_d	0.4254331168151705	0.006205325551395295	0.03521276007339394	E
272	uncl(UCG-010)	Valerate_d	0.4229596471098536	0.0065453497285183964	0.036849803589690186	E
273	Christensenellaceae_uncl(R-7)	Tot_gas	0.42064275142774377	0.006878314007853474	0.03842183215324402	E
274	Methanomicrobium	Acetate_Propionate	-0.4192826895903225	0.00708049211417317	0.03921823181419825	E
275	Negativicutes_uncl	VFA_d	-0.4186646652194348	0.007174042400508213	0.03921823181419825	E
276	Clostridia_uncl(vadinBB60)	Acetate_Propionate	-0.4185898552761488	0.007185438276447512	0.03921823181419825	E
277	Monoglobus	Tot_gas	-0.4160371645400256	0.007583747777366294	0.04095477302881118	E
278	Sphaerochaeta	CH4_ml	-0.41582207390307535	0.007618160577387255	0.04095477302881118	E
279	Prevotellaceae_uncl(UCG-001)	Acetate_Propionate	-0.4139848029841571	0.007917623166225405	0.04224701913321765	E
280	uncl(NK4A214)	Butyrate_d	0.41340965653350215	0.008013423132256302	0.04244146325602412	E
281	Lachnospiraceae_uncl(NK3A20)	Acetate_d	-0.4129129129129129	0.008096963665646365	0.04256859574218493	E
282	Streptococcus	Tot_gas	-0.4111382262511347	0.00840156331983583	0.04384757499038408	E
283	Monoglobus	ph	-0.4099346935619223	0.008613683664779038	0.044628868263166754	E
284	Syntrophococcus	Acetate_d	0.4084084084084084	0.008889281683405364	0.0457254417527686	E
285	uncl(NK4A214)	IsoValerate_d	0.4063190063398188	0.009278792307075984	0.0473881178539952	E
286	Catenisphaera	ph	0.4055712379758383	0.009421699275516077	0.04777670199995741	E
287	Lactobacillus	Acetate_d	-0.40445695920190106	0.009638143879110543	0.04848518220089815	E
288	Clostridia_uncl(vadinBB60)	CH4_p	-0.4041574813636766	0.00969703644017963	0.04848518220089815	E
289	Coprococcus	Acetate_d	0.8044533456381611	4.0019813464604077e-10	2.757365147711221e-07	FR
290	Catenisphaera	Butyrate_d	-0.7662334613599324	8.284524700363488e-09	2.854018759275222e-06	FR
291	Catenisphaera	Propionate_d	0.7229351546000483	1.3766328171295718e-07	3.161666703340917e-05	FR
292	Catenisphaera	Valerate_d	-0.6557248076148997	4.375684895490588e-06	0.0007537117232482538	FR
293	Eubacterium_nodatum	Acetate_d	0.6490045462336588	5.902320627187419e-06	0.0008133397824264263	FR
294	Coprococcus	Propionate_d	0.6381234525174829	9.438231540873948e-06	0.0008466455447008019	FR
295	Coprococcus	Tot_gas	0.6369410125189949	9.921351294360008e-06	0.0008466455447008019	FR
296	uncl(UCG-010)	Valerate_d	0.6344393197500698	1.1018978140496553e-05	0.0008466455447008019	FR
297	Megasphaera	Butyrate_d	0.6343519856892813	1.1059230627441534e-05	0.0008466455447008019	FR
298	Eubacterium_nodatum	Propionate_d	0.6309662033157575	1.2727516752303544e-05	0.0008769259042337141	FR
299	Coprococcus	NH3N_d	0.6285653958630365	1.4046673387341634e-05	0.0008798325421707625	FR
300	Catenisphaera	IsoValerate_d	-0.6221399311383524	1.8215979626156196e-05	0.0010459008302018016	FR
301	Megasphaera	Valerate_d	0.6198910072147403	1.9923690808624194e-05	0.0010559556128570823	FR
302	uncl(UCG-010)	Butyrate_d	0.6168013640216423	2.250847192717848e-05	0.001107738368416141	FR
303	Eubacterium_nodatum	Valerate_d	-0.6106532295061813	2.8583173686233135e-05	0.0013129204446543086	FR
304	Succinivibrio	Propionate_d	0.6080257789838132	3.1607962360897946e-05	0.0013611178791661678	FR
305	Megasphaera	IsoValerate_d	0.5997226596814934	4.318467512069397e-05	0.0017502494798916554	FR
306	Pseudoramibacter	Propionate_d	0.5937621210475861	5.374345633538383e-05	0.001919518688274745	FR
307	Bifidobacterium	Valerate_d	0.5931304430157861	5.498990482149957e-05	0.001919518688274745	FR
308	Bifidobacterium	Butyrate_d	0.5927669674247105	5.57189749862045e-05	0.001919518688274745	FR
309	Fibrobacter	Valerate_d	0.5896819360301566	6.226976300849564e-05	0.002043041272040643	FR
310	Rikenellaceae_uncl(RC9_gut)	Butyrate_d	0.5863188397955168	7.020132536260078e-05	0.0021946252839825852	FR
311	Catenisphaera	Acetate_d	0.5850364010978562	7.345967830053338e-05	0.0021946252839825852	FR
312	Coprococcus	VFA_d	0.5839057219604991	7.644558318662126e-05	0.0021946252839825852	FR
313	Coprococcus	Valerate_d	-0.5678351531838499	0.00013259323317278799	0.0035134902743237917	FR
314	Fibrobacter	Butyrate_d	0.5671630032615186	0.00013559893355422957	0.0035134902743237917	FR
315	Pseudoramibacter	Acetate_d	0.566704606670734	0.00013768394398656368	0.0035134902743237917	FR
316	Catenisphaera	ph	0.558053005350843	0.00018287424534888327	0.004500012680192163	FR
317	Methanomethylophilaceae_uncl	Acetate_d	-0.5514330086685145	0.00022605230033608009	0.0052438133912952435	FR
318	Bifidobacterium	Acetate_d	-0.5511174335505976	0.0002283227891710556	0.0052438133912952435	FR
319	Muribaculaceae	IsoButyrate_d	0.549972653526745	0.0002367325572969775	0.005261571999277984	FR
320	Succinivibrio	Acetate_d	0.5463774156123478	0.0002649873089635443	0.005657660205423734	FR
321	Bifidobacterium	Propionate_d	-0.5456598936588553	0.0002709764684745765	0.005657660205423734	FR
322	Methanimicrococcus	Butyrate_d	0.5446011790435314	0.00028003594370397395	0.005674846035648178	FR
323	Syntrophococcus	Acetate_d	0.5418510381601349	0.00030485455289478445	0.0060012796269859	FR
324	Megasphaera	ph	-0.5357339998864804	0.0003672761272166436	0.007029256990340763	FR
325	Pseudoramibacter	Valerate_d	-0.5306755338081452	0.000427305439225765	0.007957120206123028	FR
326	Eubacterium_nodatum	Butyrate_d	-0.5176560439228783	0.0006241651290527562	0.011317099313614448	FR
327	uncl(UCG-010)	Propionate_d	-0.5146644924644458	0.0006795002893207843	0.01160592164839675	FR
328	Bifidobacterium	IsoValerate_d	0.5138660291333944	0.0006949904718626666	0.01160592164839675	FR
329	Dialister	NH3N_d	0.513199067522333	0.0007081700095707338	0.01160592164839675	FR
330	Lachnospiraceae_uncl(NK3A20)	Butyrate_d	0.5125846675854627	0.0007205075532700265	0.01160592164839675	FR
331	Pseudoramibacter	Butyrate_d	-0.5123968388322251	0.0007243173162279539	0.01160592164839675	FR
332	Megasphaera	CH4_p	0.5085619933932316	0.0008061278041673678	0.012623228569802646	FR
333	Methanimicrococcus	ph	-0.5045278398340718	0.0009009729911235687	0.013794897575203085	FR
334	Methanimicrococcus	Valerate_d	0.5025419825175951	0.0009512071916560117	0.014247429457630264	FR
335	Muribaculaceae	Acetate_Propionate	0.500705459952971	0.000999862987741119	0.014657565926672998	FR
336	Lachnospiraceae_uncl(NK3A20)	IsoValerate_d	0.4994367611365139	0.0010347536683021528	0.014853026613753819	FR
337	Succinivibrio	Butyrate_d	-0.4973227415675286	0.0010952973491454862	0.015370548417209275	FR
338	Clostridia_uncl(UCG-014)	Butyrate_d	0.4966428995964748	0.0011154244134404408	0.015370548417209275	FR
339	Rhodospirillales_uncl	Butyrate_d	0.494784511726198	0.0011721270031080455	0.015835205983165554	FR
340	uncl(UCG-010)	IsoValerate_d	0.4923804834761689	0.0012492611526260153	0.016552710272294702	FR
341	Megasphaera	Propionate_d	-0.4904180993448666	0.0013155236165598284	0.01710180701527777	FR
342	Succinivibrio	Valerate_d	-0.4886601762238133	0.0013775047087796098	0.017575939710169467	FR
343	Rikenellaceae_uncl(RC9_gut)	Valerate_d	0.4863841112437636	0.0014615853353953205	0.01830967811067956	FR
344	uncl(F082)	NH3N_d	0.4788167027569708	0.0017746823541141845	0.02183493110686916	FR
345	Methanomethylophilaceae_uncl	Valerate_d	0.4757755971839181	0.001916292936712645	0.023163611112193196	FR
346	Methanimicrococcus	Acetate_d	-0.4747327043091893	0.0019670981504953046	0.023367769408470084	FR
347	Prevotellaceae_uncl(UCG-003)	ph	-0.4719072459459393	0.00211075079451385	0.02405188859219489	FR
348	Syntrophococcus	NH3N_d	0.4715832544320176	0.0021277989876381472	0.02405188859219489	FR
349	Sphaerochaeta	Butyrate_d	0.4715527091698152	0.002129412487843089	0.02405188859219489	FR
350	Rikenellaceae_uncl(RC9_gut)	IsoValerate_d	0.47003621270652207	0.00221088436149045	0.024569343952692262	FR
351	Rikenellaceae_uncl(RC9_gut)	ph	-0.46894730541764795	0.0022710629004215627	0.02483749743476915	FR
352	Syntrophococcus	Propionate_d	0.4618134021489638	0.002702157477673005	0.028672685841002014	FR
353	Negativicutes_uncl	Valerate_d	0.4617702371099344	0.002704970362358681	0.028672685841002014	FR
354	Eubacterium_nodatum	NH3N_d	0.4550923598662194	0.003172297385565688	0.03279929072711229	FR
355	Rhodospirillales_uncl	ph	-0.4548059582047746	0.003193829070999433	0.03279929072711229	FR
356	Lachnospiraceae_uncl(NK3A20)	IsoButyrate_d	0.4542356557501208	0.0032370852967251603	0.03279929072711229	FR
357	Muribaculaceae	NH3N_d	0.4509162592178654	0.003499164820505169	0.03494093567142118	FR
358	Methanobacteriaceae_uncl	Acetate_Propionate	-0.4496878736307543	0.0036007441619537134	0.03544161039408726	FR
359	uncl(F082)	Tot_gas	0.4460313330763385	0.003918501038522708	0.038026017120311915	FR
360	Pseudoramibacter	NH3N_d	0.4445699931641102	0.004052168089729778	0.03877699741421969	FR
361	Methanimicrococcus	Propionate_d	-0.4412928858022499	0.004366441317573585	0.04121202832613973	FR
362	Rikenellaceae_uncl(RC9_gut)	Propionate_d	-0.43943485618750333	0.0045538764464414	0.042400282048623304	FR
363	Coprococcus	CH4_ml	0.4361562983874983	0.004901704193282139	0.045030322522285254	FR
364	Dialister	CH4_ml	0.4353461973610328	0.004991120025594387	0.04524844338992806	FR
365	Eubacterium_nodatum	Tot_gas	0.4325444312188427	0.005311369100907222	0.04752640663019579	FR
